丝瓜络,"['天萝筋', '丝瓜网', '丝瓜壳', '瓜络', '絮瓜瓤', '天罗线', '丝瓜筋', '丝瓜瓤', '千层楼', '丝瓜布。']"
三棱,"['京三棱', '红蒲根', '光三棱', '']"
丹参,"['郄蝉草', '赤参；木羊乳', '逐马', '奔马草', '山参', '紫丹参', '红根', '山红萝卜', '活血根', '靠山红', '红参', '精选酒壶根', '野苏子根', '山苏子根', '大红袍', '蜜罐头', '血参根', '朵朵花根', '蜂糖罐', '红丹参']"
乌药,"['旁其', '天台乌药', '鰟魮', '矮樟', '矮樟根', '铜钱柴', '土木香', '鲫鱼姜', '鸡骨香', '白叶柴']"
乳香,"['乳头香', '塌香', '马思答吉', '天泽香', '摩勒香', '杜噜香', '多伽罗香', '浴香。']"
人参,"['人街', '鬼盖', '黄参', '玉精', '血参', '土精', '地精', '金井玉阑', '孩儿参', '棒锤']"
仙鹤草,"['鹤草芽', '龙牙草', '施州龙牙草', '瓜香草', '黄龙尾', '铁胡蜂', '金顶龙芽', '老鹳嘴', '子母草', '毛脚茵', '黄龙牙', '草龙牙', '地椒', '黄花草', '蛇疙瘩', '龙头草', '寸八节', '过路黄', '毛脚鸡', '杰里花', '线麻子花', '脱力草', '刀口药', '大毛药', '地仙草', '蛇倒退', '路边鸡', '毛将军', '鸡爪沙', '路边黄', '五蹄风', '牛头草', '泻痢草', '黄花仔', '异风颈草', '子不离母', '父子草', '毛鸡草', '群兰败毒草', '狼牙草', '止血草黄龙牙。']"
代赭石,"['须丸', '赤土', '丁头代赭', '血师', '紫朱', '赭石', '土朱', '铁朱', '钉头赭石', '钉赭石', '赤赭石', '红石头', '代赭']"
伸筋草,"['石松', '过山龙', '宽筋藤', '火炭葛', '金毛狮子草', '金腰带', '狮子草', '狮子毛草', '立筋草', '舒筋草', '铺筋草', '抽筋草', '分筋草', '过筋草', '地棚窝草', '筋骨草', '绿毛伸筋', '小伸筋', '凤尾伸筋', '蜈蚣藤', '大地毛公', '缠身龙', '猫藤草', '通伸草', '山猫儿', '老虎垫坐', '盘龙草', '烂腰蛇', '宽筋草', '穿山龙', '']"
党参,"['上党人参', '防风党参', '黄参', '防党参', '上党参', '狮头参', '中灵草']"
全蝎,"['虿', '奎', '杜伯', '主簿虫', '虿尾虫', '全虫', '茯背虫', '蝎子']"
凌霄花,"['芰华', '紫葳华', '苃华', '陵霄花', '堕胎花', '藤萝花', '吊墙花', '杜灵霄花']"
半夏,"['水玉', '地文', '和姑', '害田', '示姑', '羊眼半夏', '地珠半夏', '麻芋果', '三步跳', '泛石子', '老和尚头', '老鸹头', '地巴豆', '无心菜根', '老鸹眼', '地雷公', '狗芋头']"
厚朴,"['厚皮', '重皮', '赤朴', '烈朴', '川朴', '紫油厚朴']"
合欢皮,"['合昏皮', '夜台皮', '合欢木皮']"
地骨皮,"['杞根', '地骨', '地辅', '地节', '枸杞根', '苟起根', '枸杞根皮', '山杞子根', '甜齿牙根', '红耳堕根', '山枸杞根', '狗奶子根皮', '红榴根皮', '狗地芽皮']"
地龙,"['蚯蚓', '螼', '螾', '丘螾', '蜿蟺', '引无', '附蚓', '寒蚓', '曲蟺', '曲蟮', '土龙', '地龙子', '土蟺', '虫蟮']"
夏枯草,"['夕句', '乃东', '燕面', '麦夏枯', '铁色草', '棒柱头花', '灯笼头', '棒槌草', '锣锤草', '牛牯草', '广谷草', '棒头柱', '六月干', '夏枯头', '大头花', '灯笼草', '古牛草', '牛佤头', '丝线吊铜钟']"
大黄,"['将军', '黄良', '火参', '肤如', '蜀大黄', '锦纹大黄', '牛舌大黄', '锦纹', '\n生军', '川军']"
