丝瓜络,"['天萝筋', '丝瓜网', '丝瓜壳', '瓜络', '絮瓜瓤', '天罗线', '丝瓜筋', '丝瓜瓤', '千层楼', '丝瓜布。']"
黑三棱,"['三棱', '泡三棱。']"
三棱,"['京三棱', '红蒲根', '光三棱', '']"
三棱马尾,"['三棱草', '大三方草', '仙鹤草']"
滇丹参,"['丹参', '小丹参', '紫丹参', '小红参', '小红草乌', '小红丹参', '山槟榔', '云南丹参', '石山丹参']"
三对叶丹参,"['小红参', '小紫丹参', '红根根药']"
长叶丹参,['对口元宝草']
土丹参,['']
银紫丹参,"['白背丹参', '丹参', '白元参', '紫丹参']"
黄花紫丹参,['']
南丹参,"['土丹参', '丹参', '赤参', '紫丹参', '八莲麻', '七里麻', '七里蕉', '紫根', '木羊乳', '红根', '奔马草', '鼠尾草']"
红丹参,"['紫丹参', '大木帮', '红秦艽', '松林丹参', '马蹄叶红仙茅']"
丹参,"['郄蝉草', '赤参；木羊乳', '逐马', '奔马草', '山参', '紫丹参', '红根', '山红萝卜', '活血根', '靠山红', '红参', '精选酒壶根', '野苏子根', '山苏子根', '大红袍', '蜜罐头', '血参根', '朵朵花根', '蜂糖罐', '红丹参']"
牡丹皮,"['牡丹根皮', '丹皮', '丹根。']"
衡州乌药,"['矮脚樟', '木防己', '十八症', '九皮英', '托食茶', '消食树。']"
乌药子,['']
乌药叶,['蒡箕茶']
乌药,"['旁其', '天台乌药', '鰟魮', '矮樟', '矮樟根', '铜钱柴', '土木香', '鲫鱼姜', '鸡骨香', '白叶柴']"
乳香,"['乳头香', '塌香', '马思答吉', '天泽香', '摩勒香', '杜噜香', '多伽罗香', '浴香。']"
土人参,"['参草', '土高丽参', '假人参', '土洋参', '土参', '紫人参', '瓦坑头', '福参', '土红参', '飞来参', '瓦参', '锥花', '土人参', '桃参', '申时花']"
猫人参,"['猫气藤', '痈草', '沙梨藤', '糯米饭藤。']"
竹节人参叶,['野三七叶']
小雪人参,"['山豆花根', '小毛香', '山花生', '山油麻', '公油麻', '白土子', '毛胡枝子', '白荻', '绒毛胡枝子。']"
刺人参,['东北刺人参']
土人参叶,['']
岩人参,['']
人参芦,"['参芦', '竹节参']"
人参花,['']
人参叶,"['人参苗', '参叶']"
人参子,['']
人参,"['人街', '鬼盖', '黄参', '玉精', '血参', '土精', '地精', '金井玉阑', '孩儿参', '棒锤']"
人参娃儿藤,"['土人参', '土牛膝', '山豆根', '藤了刁竹', '三十六根参']"
雪人参,"['铁刷子', ' 血人参', '山红花', '红苦刺。']"
仙鹤草,"['鹤草芽', '龙牙草', '施州龙牙草', '瓜香草', '黄龙尾', '铁胡蜂', '金顶龙芽', '老鹳嘴', '子母草', '毛脚茵', '黄龙牙', '草龙牙', '地椒', '黄花草', '蛇疙瘩', '龙头草', '寸八节', '过路黄', '毛脚鸡', '杰里花', '线麻子花', '脱力草', '刀口药', '大毛药', '地仙草', '蛇倒退', '路边鸡', '毛将军', '鸡爪沙', '路边黄', '五蹄风', '牛头草', '泻痢草', '黄花仔', '异风颈草', '子不离母', '父子草', '毛鸡草', '群兰败毒草', '狼牙草', '止血草黄龙牙。']"
代赭石,"['须丸', '赤土', '丁头代赭', '血师', '紫朱', '赭石', '土朱', '铁朱', '钉头赭石', '钉赭石', '赤赭石', '红石头', '代赭']"
伸筋草,"['石松', '过山龙', '宽筋藤', '火炭葛', '金毛狮子草', '金腰带', '狮子草', '狮子毛草', '立筋草', '舒筋草', '铺筋草', '抽筋草', '分筋草', '过筋草', '地棚窝草', '筋骨草', '绿毛伸筋', '小伸筋', '凤尾伸筋', '蜈蚣藤', '大地毛公', '缠身龙', '猫藤草', '通伸草', '山猫儿', '老虎垫坐', '盘龙草', '烂腰蛇', '宽筋草', '穿山龙', '']"
小伸筋草,['英雄草']
大伸筋草,"['马尾千金草', '鹿角草', '青蛇勒公', '裤带藤']"
党参,"['上党人参', '防风党参', '黄参', '防党参', '上党参', '狮头参', '中灵草']"
明党参,"['土人参', '百丈光', '天瓠', '粉沙参', '红党参', '金鸡爪', '山萝卜', '明沙参']"
土党参,"['奶参', '土羊乳', '白洋参', '对月参', '野党参', '浮萍参', '土人参', '土沙参', '百丈光', '土参', '土洋参', '人参薯', '模登果', '孩子葛', '奶浆根', '南人参', '小人参', '川人参']"
全蝎,"['虿', '奎', '杜伯', '主簿虫', '虿尾虫', '全虫', '茯背虫', '蝎子']"
梅花冰片,"['龙脑', '龙脑香', '脑子', '冰片', '片脑', '冰片脑', '梅花脑', '天然冰片', '老梅片', '梅片。']"
凌霄花,"['芰华', '紫葳华', '苃华', '陵霄花', '堕胎花', '藤萝花', '吊墙花', '杜灵霄花']"
木半夏叶,['']
木半夏果实,"['四月子', '野樱桃', '棠台', '麦粒团', '羊奶子', '判渣', '', '石滚子', '芦都子', '牛脱。']"
木半夏根,['牛奶子根。']
半夏,"['水玉', '地文', '和姑', '害田', '示姑', '羊眼半夏', '地珠半夏', '麻芋果', '三步跳', '泛石子', '老和尚头', '老鸹头', '地巴豆', '无心菜根', '老鸹眼', '地雷公', '狗芋头']"
水半夏,"['山慈姑', '土田七']"
山半夏,"['土半夏', '土附子', '土田七', '小黑牛', '马蹄跌打']"
天南星,"['半夏精', '鬼南星', '虎膏', '蛇芋', '野芋头', '蛇木芋', '山苞米', '蛇包谷', '山棒子']"
银南星,"['银半夏', '地珠半夏', '银半夏']"
普陀南星,['']
花南星,"['由拔', '大叶天南星', '大叶半夏', '蛇磨芋', '南星七', '虎爪南星', '绿南星', '半边莲', '独脚莲', '虎芋', '麻芋子', '血理箭', '芋儿南星', '黑南星', '蛇杆棒', '金半夏', '狗爪半夏', '花包谷', '烂屁股']"
绿南星,"['天南星', '白南星', '南星七', '螃蟹七', '三甫莲', '蛇芋头', '山苞谷', '三角莲', '三步跳']"
野厚朴,['土厚朴']
厚朴果,"['逐折', '百合', '厚实', '厚朴实']"
野厚朴花,['野玉兰花']
厚朴花,['调羹花']
柴厚朴,['土厚朴']
厚朴,"['厚皮', '重皮', '赤朴', '烈朴', '川朴', '紫油厚朴']"
合欢皮,"['合昏皮', '夜台皮', '合欢木皮']"
地骨皮,"['杞根', '地骨', '地辅', '地节', '枸杞根', '苟起根', '枸杞根皮', '山杞子根', '甜齿牙根', '红耳堕根', '山枸杞根', '狗奶子根皮', '红榴根皮', '狗地芽皮']"
鲜地黄,"['生地黄', '鲜生地', '山菸根']"
熟地黄,['熟地']
木达地黄,"['假络麻', '野棉花秸。']"
浙地黄,"['紫花地黄', '鲜生地', '蜜糖罐', '野鲜地黄', '天芥菜', '秦氏地黄']"
滇地黄连,"['假苦楝', '矮秃秃', '千年矮', '鸡血散', '小罗伞', '白花矮陀陀', '七匹散', '金丝岩陀', '土黄连', '地黄连', '思茅地黄连', '小独根', '火石五', '岩桧', '麻鸡翅膀', '小岩三', '小花药', '小花叶子', '矮陀陀', '小野椒。']"
湖北地黄,"['鄂地黄', '岩白菜']"
干地黄,"['生地黄', '原生地', '干生地']"
洋地黄,"['地钟黄', '洋地黄叶']"
地黄瓜,"['肾气草', '黄瓜香', '犁头草。']"
地龙,"['蚯蚓', '螼', '螾', '丘螾', '蜿蟺', '引无', '附蚓', '寒蚓', '曲蟺', '曲蟮', '土龙', '地龙子', '土蟺', '虫蟮']"
抓地龙,"['山文竹', '糙叶天冬', '毛叶天冬', '霸天王', '寄马桩']"
白毛夏枯草,"['雪里青', '见血青', '白头翁', '退血草', '散血草', '白夏枯草', '散血丹', '白毛串', '白喉草', '四季春草', '大叶刀焮草', '白调羹', '朋花', '雪里开花', '青石藤', '一盏灯', '野鹿衔花', '天青地红', '叶下红', '爬爬草', '活血草', '地龙胆', '筋骨草', '苦草', '苦胆草', '四服春', '大本四时春', '七层宝塔', '小将军', '透滑消', '蚊毒草', '大叶退焮草']"
夏枯草,"['夕句', '乃东', '燕面', '麦夏枯', '铁色草', '棒柱头花', '灯笼头', '棒槌草', '锣锤草', '牛牯草', '广谷草', '棒头柱', '六月干', '夏枯头', '大头花', '灯笼草', '古牛草', '牛佤头', '丝线吊铜钟']"
大黄连刺,"['土黄连', '石妹刺', '大黄连', '宽叶鸡肢黄连', '刺黄连', '鸡脚刺', '三颗针']"
小大黄,"['大黄', '次大黄', '白大黄']"
土大黄叶,"['金不换叶', '晕药叶']"
大黄茎,['']
大黄花,"['白蒿茶', '兴安芯芭', '芯玛芭']"
河套大黄,['为蓼科植物河套大黄的根及根茎。']
牛耳大黄叶,['']
大黄,"['将军', '黄良', '火参', '肤如', '蜀大黄', '锦纹大黄', '牛舌大黄', '锦纹', '\n生军', '川军']"
大黄树,"['白走马胎', '盐巴菜', '木桃果', '长叶子老重。']"
